Murder	Rape	Robbery	Assault	Burglary	Larceny	Autotheft	Region	State
1.5	7	12.6	62	562	1055	146	NewEngland	ME
2	6	12.1	36	566	929	172	NewEngland	NH
1.3	10.3	7.6	55	731	969	124	NewEngland	VT
3.5	12	99.5	88	1134	1531	878	NewEngland	MA
3.2	3.6	78.3	120	1019	2186	859	NewEngland	RI
3.5	9.1	70.4	87	1084	1751	484	NewEngland	CT
7.9	15.5	443.3	209	1414	2025	682	MidAtlantic	NY
5.7	12.9	169.4	90	1041	1689	557	MidAtlantic	NJ
5.3	11.3	106	90	594	1001	340	MidAtlantic	PA
6.6	16	145.9	116	854	1944	493	Central	OH
4.8	17.9	107.5	95	860	1791	429	Central	IN
9.6	20.4	251.1	187	765	2028	518	Central	IL
9.4	27.1	346.6	193	1571	2897	464	Central	MI
2	6.7	33.1	44	539	1860	218	Central	WI
2	9.7	89.1	51	802	1902	346	Midwest	MN
1.9	6.2	28.6	48	507	1743	175	Midwest	IA
10.7	27.4	200.8	167	1187	2074	538	Midwest	MO
0.5	6.2	6.5	21	286	1295	91	Midwest	ND
3.8	11.1	17.1	60	471	1396	94	Midwest	SD
3	9.3	57.3	115	505	1572	292	Midwest	NE
4.8	14.5	75.1	108	882	2302	257	Midwest	KS
7.7	18.6	105.5	196	1056	2320	559	Southeast	DE
9.2	23.9	338.6	253	1051	2417	548	Southeast	MD
8.4	15.4	92	143	806	1980	297	Southeast	VA
6.2	6.7	27.3	84	389	774	92	Southeast	WV
11.8	12.9	53	293	766	1338	169	Southeast	NC
14.6	18.1	60.1	193	1025	1509	256	Southeast	SC
15.3	10.1	95.8	177	900	1869	309	Southeast	GA
12.7	22.2	186.1	277	1562	2861	397	Southeast	FL
11.1	13.7	72.8	123	704	1212	346	South	KY
8.8	15.5	82	169	807	1025	289	South	TN
11.7	18.5	50.3	215	763	1125	223	South	AL
11.5	8.9	19	140	351	694	78	South	MS
10.1	17.1	45.6	150	885	1211	109	South	AR
11.7	23.1	140.8	238	890	1628	385	South	LA
5.9	15.6	54.9	127	841	1661	280	South	OK
11.6	21	134.1	195	1151	2183	394	South	TX
3.2	10.5	22.3	75	594	1956	222	Mountain	MT
4.6	12.3	20.5	86	674	2214	144	Mountain	ID
5.7	12.3	22	73	646	2049	165	Mountain	WY
6.2	36	129.1	185	1381	2992	588	Mountain	CO
9.4	21.7	66.1	196	1142	2408	392	Mountain	NM
9.5	27	120.2	214	1493	3550	501	Mountain	AZ
3.4	10.9	53.1	70	915	2833	316	Mountain	UT
8.8	19.6	188.4	182	1661	3044	661	Mountain	NV
3.5	18	93.5	106	1441	2853	362	Pacific	WA
4.6	18	102.5	132	1273	2825	333	Pacific	OR
6.9	35.1	206.9	226	1753	3422	689	Pacific	CA
12.2	26.1	71.8	168	790	2183	551	Pacific	AK
3.6	11.8	63.3	43	1456	3106	581	Pacific	HI